Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 35,334.126752,174.113058,,,,,,,,,,,
Block 36,344.760942,175.506625,,,,,,,,,0.000000,0.000000,No
Block 36,341.186110,205.292874,,,,,,,,,,,
Block 36,352.495722,206.525791,,,,,,,,,,,
Block 36,355.422885,176.668938,,,,,,,,,,,
Block 36,344.760942,175.506625,,,,,,,,,,,
Block 37,355.422885,176.668938,,,,,,,,,0.000000,0.000000,No
Block 37,352.495722,206.525791,,,,,,,,,,,
Block 37,363.829440,207.512824,,,,,,,,,,,
Block 37,366.107555,177.599446,,,,,,,,,,,
Block 37,355.422885,176.668938,,,,,,,,,,,
Block 38,366.107555,177.599446,,,,,,,,,0.000000,0.000000,No
Block 38,363.829440,207.512824,,,,,,,,,,,
Block 38,375.181919,208.253506,,,,,,,,,,,
Block 38,376.809912,178.297711,,,,,,,,,,,
Block 38,366.107555,177.599446,,,,,,,,,,,
Block 39,376.809912,178.297711,,,,,,,,,0.000000,0.000000,No
Block 39,375.181919,208.253506,,,,,,,,,,,
Block 39,386.547806,208.747488,,,,,,,,,,,
Block 39,387.524909,178.763405,,,,,,,,,,,
Block 39,376.809912,178.297711,,,,,,,,,,,
Block 40,387.524909,178.763405,,,,,,,,,0.000000,0.000000,No
Block 40,386.547806,208.747488,,,,,,,,,,,
Block 40,397.921739,208.994538,,,,,,,,,,,
Block 40,398.247491,178.996306,,,,,,,,,,,
Block 40,387.524909,178.763405,,,,,,,,,,,
Block 41,398.247491,178.996306,,,,,,,,,0.000000,0.000000,No
Block 41,397.921739,208.994538,,,,,,,,,,,
Block 41,409.298355,208.994538,,,,,,,,,,,
Block 41,408.972603,178.996306,,,,,,,,,,,
Block 41,398.247491,178.996306,,,,,,,,,,,
Block 42,408.972603,178.996306,,,,,,,,,0.000000,0.000000,No
Block 42,409.298355,208.994538,,,,,,,,,,,
Block 42,420.672289,208.747488,,,,,,,,,,,
Block 42,419.695185,178.763405,,,,,,,,,,,
Block 42,408.972603,178.996306,,,,,,,,,,,
Block 43,419.695185,178.763405,,,,,,,,,0.000000,0.000000,No
Block 43,420.672289,208.747488,,,,,,,,,,,
Block 43,432.038175,208.253506,,,,,,,,,,,
Block 43,430.410182,178.297711,,,,,,,,,,,
Block 43,419.695185,178.763405,,,,,,,,,,,
Block 44,430.410182,178.297711,,,,,,,,,0.000000,0.000000,No
Block 44,432.038175,208.253506,,,,,,,,,,,
Block 44,443.390654,207.512824,,,,,,,,,,,
Block 44,441.112539,177.599446,,,,,,,,,,,
Block 44,430.410182,178.297711,,,,,,,,,,,
Block 45,441.112539,177.599446,,,,,,,,,0.000000,0.000000,No
Block 45,443.390654,207.512824,,,,,,,,,,,
Block 45,454.724372,206.525791,,,,,,,,,,,
Block 45,451.797209,176.668938,,,,,,,,,,,
Block 45,441.112539,177.599446,,,,,,,,,,,
Block 46,451.797209,176.668938,,,,,,,,,0.000000,0.000000,No
Block 46,454.724372,206.525791,,,,,,,,,,,
Block 46,466.033984,205.292874,,,,,,,,,,,
Block 46,462.459153,175.506625,,,,,,,,,,,
Block 46,451.797209,176.668938,,,,,,,,,,,
Block 47,462.459153,175.506625,,,,,,,,,0.000000,0.000000,No
Block 47,466.033984,205.292874,,,,,,,,,,,
Block 47,477.314155,203.814652,,,,,,,,,,,
Block 47,473.093342,174.113058,,,,,,,,,,,
Block 47,462.459153,175.506625,,,,,,,,,,,
Block 48,473.093342,174.113058,,,,,,,,,0.000000,0.000000,No
Block 48,477.314155,203.814652,,,,,,,,,,,
Block 48,488.559565,202.091825,,,,,,,,,,,
Block 48,483.694762,172.488891,,,,,,,,,,,
Block 48,473.093342,174.113058,,,,,,,,,,,
Block 49,483.694762,172.488891,,,,,,,,,0.000000,0.000000,No
