Block,X [mm],Y [mm],,Interface,Len [mm],Ds [mm],Fi [deg],Depth [mm],Weight [N],,Fx_lam [N],Fy_lam [N],Backfill_Added
Block 63,629.070620,106.461445,,,,,,,,,0.000000,0.000000,No
Block 63,643.440133,132.796157,,,,,,,,,,,
Block 63,653.367038,127.238825,,,,,,,,,,,
Block 63,638.429041,101.222364,,,,,,,,,,,
Block 63,629.070620,106.461445,,,,,,,,,,,
Block 64,638.429041,101.222364,,,,,,,,,0.000000,0.000000,No
Block 64,653.367038,127.238825,,,,,,,,,,,
Block 64,663.170922,121.467235,,,,,,,,,,,
Block 64,647.671486,95.781295,,,,,,,,,,,
Block 64,638.429041,101.222364,,,,,,,,,,,
Block 65,647.671486,95.781295,,,,,,,,,0.000000,0.000000,No
Block 65,663.170922,121.467235,,,,,,,,,,,
Block 65,672.847161,115.484109,,,,,,,,,,,
Block 65,656.793596,90.140805,,,,,,,,,,,
Block 65,647.671486,95.781295,,,,,,,,,,,
Block 66,656.793596,90.140805,,,,,,,,,0.000000,0.000000,No
Block 66,672.847161,115.484109,,,,,,,,,,,
Block 66,682.391192,109.292270,,,,,,,,,,,
Block 66,665.791069,84.303554,,,,,,,,,,,
Block 66,656.793596,90.140805,,,,,,,,,,,
Block 67,665.791069,84.303554,,,,,,,,,0.000000,0.000000,No
Block 67,682.391192,109.292270,,,,,,,,,,,
Block 67,691.798513,102.894636,,,,,,,,,,,
Block 67,674.659661,78.272294,,,,,,,,,,,
Block 67,665.791069,84.303554,,,,,,,,,,,
Block 68,674.659661,78.272294,,,,,,,,,0.000000,0.000000,No
Block 68,691.798513,102.894636,,,,,,,,,,,
Block 68,701.064687,96.294227,,,,,,,,,,,
Block 68,683.395189,72.049870,,,,,,,,,,,
Block 68,674.659661,78.272294,,,,,,,,,,,
Block 69,683.395189,72.049870,,,,,,,,,0.000000,0.000000,No
Block 69,701.064687,96.294227,,,,,,,,,,,
Block 69,710.185345,89.494153,,,,,,,,,,,
Block 69,691.993534,65.639216,,,,,,,,,,,
Block 69,683.395189,72.049870,,,,,,,,,,,
Block 70,691.993534,65.639216,,,,,,,,,0.000000,0.000000,No
Block 70,710.185345,89.494153,,,,,,,,,,,
Block 70,719.156185,82.497624,,,,,,,,,,,
Block 70,700.450641,59.043357,,,,,,,,,,,
Block 70,691.993534,65.639216,,,,,,,,,,,
Block 71,700.450641,59.043357,,,,,,,,,0.000000,0.000000,No
